項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
1333,1,,ひっくん,,[hiK-],,(動詞),227,,突く。突き刺す。,,,,,,,【例】くぶしみ ひってぃ=くたよ,〈クブシミ突いてくるね〉,,,,,,,,,,,,,,,,,,,,
1334,1,,ひっとぅ,,[hiTu],C,(名詞),227,,(動物)イルカ。「ひとぅ」とも。,,,(語源)沖縄方言フィー トゥ /(0)hwiitu/ に対応。,[peto>heto>heTo>hiTu],,,【例】あがみてぃ あるたや ひっとぅぬ ん すに まーしく はい=ぶたん,〈子供だったころはイルカの味噌煮をよく食べた〉,,,,,,,,,,,,,,,,,,,,
1335,1,,ひっとぅい,,[hiTui],,(名詞),227,,一日。一日中。,,,(語源)日本語ヒヒトヒ〈日一日〉に対応。,[pipitowi>hihito'i>his(i) Toi>hiTui],,,【例】すーん ひっとぅい はでぃまるんどー,〈今日も一日が始まるよ〉,,,,,,,,,,,,,,,,,,,,
1336,1,,〜びてぃ,,[biTi],,(接辞),227,,~ので。,,,,,,,【例】くぬ うぶにや まいさびてぃ はいんく゚りさん,〈この大根は大きすぎて食べにくい〉,,,,,,,,,,,,,,,,,,,,
1337,1,,ひびだ,,[hibida],C,(名詞),227,,(動物)山羊(ヤギ)。肉や内臓を煮た汁物、刺身がよく食べられている。,,,(語源)沖縄方言フィー ジャー /(0)hwiizaa/〈山羊〉に対応。,[pewida>hebida>hibida],,,【例】ひびだ いちがらしや うち ‘とぅがらとぅ みでぃ つぁー はいどぅ  きる,〈山羊五匹だと牛一頭と同じ量の草を食べる〉,ひびだとぅ どぅぬ=むぬ ‘てぃぶに=ばがい ういがしてぃ んだや,〈山羊と同じ、口ばかり動 かして(食べてばかりで)、お前は〉,,,,,,,,,,,,,,,,,,
1338,1,,ひぶち,,[hibuCi],,(名詞),227,,悪口(わるぐち)。人を悪く言うこと。,〔同〕あっく,,,,,,【例】 ‘ と ぅ ぬ   ひ ぶ ち  ‘てぃーむぬ,〈人の悪口を言う者〉,,,,,,,,,,,,,,,,,,,,
1339,1,,ひま,,[hima],,(名詞),227,,暇。,〔同〕まどぅ,,,,,,【例】 ひ ま   ん で ぃ る ん ,〈暇になる〉, い ち   ま ん ぐ る ば   ひまんか゚ あんか゚?,〈いつ頃暇がありますか?〉,どぅどぅ んでぃ ひま  みぬんき ない=みぬんすや,〈急用ができて暇がなくなってしまったよ〉,,,,,,,,,,,,,,,,
1340,1,,ぴみんたい,,[PimiNTai],,(動名詞),228,,湿っているさま。,,,,,,,【例】あらいむぬ までぃ ぴみんたいどぅ=ぶる,〈洗濯物がまだ湿っぽい〉,,,,,,,,,,,,,,,,,,,,
1341,1,,ひゃぐす,,[hyagusu],,(名詞),228,,百姓・農家。農業。,,,,,,,【例】ひゃぐすや つぁーとぅぬ あらし,〈農家は草との闘い〉,かりや うんなぬ ちまに ひゃぐすぬ べんきょー=きゃる=はでぃ,〈彼は沖縄の島で農業の勉強をしたはずだよ〉,,,,,,,,,,,,,,,,,,
1342,1,,ひやさ,,[hiyasa],,(感動詞),228,,よいしょ。「ひやささ」「ひゃくりさ」とも。,,,,,,,【例】ぬ、くぬ-きや いんさんすや。 ひやささ,〈なに、この木の重いことよ。よいしょ〉,,,,,,,,,,,,,,,,,,,,
1343,1,,ひゃに,,[hyani],C,(名詞),228,,お玉。杓子。汁をすくうのに用いる。,,,,,,,【例】 ん か ち   み や ら び あ が や ん で ぃ   んどぅ かいんき たぎし どぅい ‘くいてぃ あんだなびんた ちるな びんたぬ ひゃーに きー=ぶたんどー,〈昔、トラフザラガイという貝に竹で柄を作って油鍋や汁鍋などのお玉にしていたよ〉,,,,,,,,,,,,,,,,,,,,
1344,1,,ひゅーぬ=いゆ,,[hyunu+iyu], ,(名詞),228,〔魚〕,シイラ。,〔同〕まんびか,,,,,,【例】ひゅーぬいゆや かんだい きるばん さしみし ふーばん まーんど,〈シイラは干物にしても刺身で食べてもおいしいよ〉,,,,,,,,,,,,,,,,,,,,
1345,1,,ひゅーり,,[hyuri],A,(名詞),228,,日より。,,,,,,,【例】ひゅーり ちらみり,〈日和を調べろ〉,,,,,,,,,,,,,,,,,,,,
1346,1,,びゅっか,,[byuKa],,(名詞),228,,年上の甥(おい)。第一の甥。,,,,,,,【例】 く ぶ ら に   い っ て ぃ ん   あ て ぃ ぬ い ゆ   とぅい=ぶんすや あんか゚ びゅっかどぅ ない=ぶる,〈久部良で一番カジキを捕っているのは私の,〈年上の〉甥である〉(関連用語)ながびゅっか,〈第二 の甥〉,びゅっかてぃ,〈年上の甥。第三の甥〉,,,,,,,,,,,,,,,,
1347,1,,ひら,1,[hira],C,(名詞),228,,柱。,,,(語源)日本語ハシラ〈柱〉に対応。,[pasira>paira>hee ra>hira],,,【例】だーぬ ひらんきや ヒノキ きゃんき゚んたんか゚どぅ うぶさぐ  ‘かり=ぶたる,〈家の柱にはヒノキ、イヌマキなどが多く使われていた〉,はでぃぬ ひら いんぎんた ぶーる どぅぬ だまぬ きゃんき゚-きしどぅ  いり-かい きゃる,〈家の軒の柱、一番外の縁側の垂木、全部自分の山のイヌ マキで入れ替えをした〉,,,,,,,,,,,,,,,,,,
1348,1,,ひら,2,[hira],C,(名詞),229,,箆(へら)。,,,(語源)日本語ヘラ〈箆〉に対応。,,,,【例】うぬ ひらし つぁー はらい,〈この箆で草を払いなさい〉,,,,,,,,,,,,,,,,,,,,
1349,1,,ひらい,,[hirai],,(名詞),229,,付き合い。交際。,,,,,,,【例】かぬとぅんか゚ んどぅんすや ひらいむぬい,〈あの人が言っていることはうわべだけだ〉,,,,,,,,,,,,,,,,,,,,
1350,1,,ひらいｎく゚りさん,,[hiraiŋurisaN],,(形容詞),229,,付き合いにくい。「ひらい」に接辞「~んく゚りさん」が付いた形。,,,,,,,【例】にきにぐさびてぃ ひらいんく゚りさぬ,〈近づきにくくて付き合いにくい〉,,,,,,,,,,,,,,,,,,,,
1351,1,,ひらいだっつぁん,,[hiraidaCaN],,(形容詞),229,,付き合いやすい。,,,,,,,【例】まーてぃ あいすん あいてぃ ひらいだっつぁん ,〈とても愛想もあって付き合いやすい〉,,,,,,,,,,,,,,,,,,,,
1352,1,,ひらぎさん,,[hiragisaN],,(形容詞),229,,涼しい。,,,,,,,【例】ひらぎさる ‘とぅむてぃ ないぬてぃん つぁー とぅり,〈涼しい朝のうちに草取りしなさい〉,,,,,,,,,,,,,,,,,,,,
1353,1,,びらぎるん,,[biragir-],,(動詞),229,,(~を)開く。,,,,,,,【例】まーびん はん びらぎり,〈もっと足を開きなさい〉,,,,,,,,,,,,,,,,,,,,
1354,1,,ひらぎんたい,,[hiragiNTai],,(動名詞),229,,冷たいこと。冷えること。とても冷たいさまをいう。,,,,,,,【例】かてぃむぬんか゚  ひらぎんたいどぅ=ぶんか゚え,〈おかずが冷めているよ〉,あらーぐ うんな がに うでぃてぃ てぃー ひらぎんたい=ぶんそ,〈ずっと海で泳いで手が 冷たくなっているぞ〉,ちる ひらぎんたい,〈お汁が冷たくなっている〉,,,,,,,,,,,,,,,,
1355,1,,ひらん,,[hiras-],,(動詞),229,,冷ます。,,,,,,,【例】どぅー ひらい,〈湯をさませ〉,,,,,,,,,,,,,,,,,,,,
1356,1,,ぴらんかん,,[PiraNKas-],,(動詞),229,,潰(つぶ)す。押し付けて壊す。,,,,,,,【例】はぐ ぴらんかし,〈箱を潰す〉,,,,,,,,,,,,,,,,,,,,
1357,1,,びりるん,,[birir-],,(動詞),230,,糸や繊維がもつれる。,,,,,,,【例】いとぅ びりどぅ=ぶる,〈糸がからまっている〉,,,,,,,,,,,,,,,,,,,,
1358,1,,ひる,,[hiru],A,(名詞),230,,植物名。ニンニク。強壮剤として食用、また薬用にも重宝がられる。,,,(語源)日本語ヒ ル〈蒜〉に対応。,[*peru>heru>hiru],(関連用語)ひるさぎ〈ニンニク酒〉/ひ るぎっち〈ニンニクを泡盛と砂糖に漬けたもの〉,,【例】ひ るぬ かだい きー つぁぬ,〈ニンニクの匂いがして臭い〉,,,,,,,,,,,,,,,,,,,,
1359,1,,ひるぐ,,[hirugu],,(名詞),230,,寒気。冷え込み。天候が崩れること。,,,,,,,【例】にんがち ひるぐ ない くゎいたたまい どぅー きるんすや,〈二月の寒気が襲来し、かじかんで体が激しく縮こまるほどだ〉,,,,,,,,,,,,,,,,,,,,
1360,1,,〜ひるん,1,[hir-],A,(助動詞),230,,~(て)くれる。~(て)あげる。~(て)くださる。動詞「ひるん(1)」が助動詞化したもの。,,,,,,,【例】 あ さ ー   ど ぅ な ん-く と ぅ ば   し っ ぱ い   な ら し=ひ り よ ,〈おじいちゃん、与那国方言をたくさん教えてくださいね〉,うるま=たぶ ぐ ‘たーぶぐ とぅらし=ひり,〈「うるまタバコ」を二つください〉,うんに いし=ひり,〈そのようにやってください〉,,,,,,,,,,,,,,,,
1361,1,,〜ひるん,2,[hir-], ,(助動詞),230,,~(て)いく。動詞「ひるん(2)」が助動詞化したもの。,,,,,,,【例】 あ ぬ や   だ ま ぬ みんき はい=ひるん,〈私は山中に入っていく〉,,,,,,,,,,,,,,,,,,,,
1364,1,,びるん,1,[bir-],A,(動詞),231,,〔他〕(～を)植える。,,,(語源)日本語ウエル〈植 える〉に対応。,[uwe->we(r)->ber->bir-],,,【例】うんてぃ びるん,〈サツマイモを植える〉,いややはたぎんき ひてぃ ないどぅ びー=ぶる=はでぃどー,〈父は畑に行っ て苗を植えているはずだよ〉,すー つまがらや ういぬ たな あまだ  びんだぎよ,〈今日の昼からは上の畑にサトウキビを植えようよ〉,うー う まんき びー=うとぅぎ,〈これをここに植えておけ〉,,,,,,,,,,,,,,
1365,1,,びるん,2,[bir-], ,(動詞),232,,酔(よ)う。,,,(語源)日本語ヨウ(ヱフ〈)酔う〉に対応。,[wew- >be'->bi->bir],,,【例】かぬとぅや、んぬ さぎ ぬむ まいに びらぬ つり ぬ みたばどぅ びらぬたるてぃら,〈あの人は昨日酒を飲む前に酔い止め薬を飲んだので酔わなかったのだね〉,うぬとぅや だーさばたんきどぅ さぎ  ぬみ=ぶるゆんがらどぅ、うんに びー=ぶる,〈この人は空腹で酒を飲んだ ので、このように酔っている〉,,,,,,,,,,,,,,,,,,
1366,1,,びんが,,[biNga],A,(名詞),232,,男。男性。,,,(語源)沖縄方言ウィキガ/wikiga/ に対応。,[*wekuga>beNga>biNga],(関連用語)びんがみぬんか゚〈男勝り。女傑〉,,【例】びんがや うまぬ かたに いす-かばい きー=とぅらし=わり,〈男性の方はこちらでお着替えください〉,びんがんでぃ んでぃてぃ  うぬ さぐどぅ しから あるな,〈男のくせにこの程度の力しかないのか〉,,,,,,,,,,,,,,,,,,
1367,1,,ひんぎるん,,[hiNgir-],,(動詞),232,,逃げる。,,,(語源)沖縄 方言フィ ンギユン /(1)FiNgiyuN/ に対応。,,,,【例】ひびだんか゚ だまんき ひんぎ,〈山羊が山に逃げた〉,,,,,,,,,,,,,,,,,,,,
1368,1,,ひんぐ,,[hiNgu],,(名詞),232,,鍋などに付く煤(すす)。,,,,,,,【例】てぃむぬ むやば ひんぐ びっかい てぃん  んまん=くまん どぅんぐりるゆんがら うー うっとぅんでぃ あはり=きー=ぶたる,〈薪を燃やすと煤がくっ付き手もあっちもこっちも汚れるのでそれを落とそうと苦労したものだ〉,なびぬ ひんぐ うっとぅんでぃや  はまがら なびちゃ みき=してぃ がばら=がばら ちっつし=ぶたる,〈煤を落とすためには浜から軽石を探してきて、ガランガランと(音を立てな がら)擦っていた〉,,,,,,,,,,,,,,,,,,
1369,1,,ひんたくみるん,,[hiNTaKumir-],,(動詞),233,,押さえ込む。押し込む。,,,,,,,【例】‘てぃぶにんき はいむぬ ひんたくみ いりる んでぃ いし=ぶる,〈口に食べ物を押し込んで入れようとしている〉,かり や くとぅばし ‘とぅー ひんたくみるんでぃ いしどぅ=きる,〈彼は言葉 で人を押さえ込もうとする〉,,,,,,,,,,,,,,,,,,
1370,1,,びんだらい,,[biNdarai],,(名詞),233,,洗面器(せんめんき)。,,,,,,,【例】びんだらいんき みん たみり,〈洗面器に水をためなさい〉,,,,,,,,,,,,,,,,,,,,
1371,1,,びんでぃるん,,[biNdir-],,(動詞),233,,飽(あ)きる。,,,,,,,【例】すーん ぐやな? まー びんでゃん,〈今日もニガウリ？　もう飽きた〉,どぅぬ はなし=ばがいし びんでぃ ならぬん,〈同じ話ば かりで飽きてしまった〉,,,,,,,,,,,,,,,,,,
1372,1,,ひんなるん,,[hiNnar-],A,(動詞),233,,減(へ)る。少なくなる。,,,(語源)沖縄方言フィ ナユン /(1)FinayuN/ に対応。 ,[penar->henar->hiNnar-],,,【例】さぎんか゚ ひんないどぅ=ぶるゆんがら あさ んか゚ ぬみゃるてぃら,〈お酒が少なくなっているからおじいさんが呑んだだろうね〉,ちでぃみ=うとぅてぃたる かちんか゚ ばがらぬた うんに ひ んない=ぶんすや,〈しまっておいた菓子が知らない間にこんなに減っている ね〉,むぬや かがしんか゚し(からがしんか゚しゃ) ひんないどぅ きる,〈物 は乾燥させたら減るものだ〉,,,,,,,,,,,,,,,,
1373,1,例文なし,ぶいか,,[buiKa],,(名詞),233,,甥(おい)。自分より年上の第一の甥。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,1,,ふいつぁらん,,[huiCaras-],,(動詞),233,,散らす。(種を)蒔く。,,,,,,,【例】くまみ ふいつぁらし,〈青豆をまく〉,,,,,,,,,,,,,,,,,,,,
1375,1,,ぷい=つん,,[PuiC-],B,(動詞),233,,(1)噛む(かむ)。咬む。噛み切る。,,,,,,,【例】‘たー ぷい=ちゃん,〈舌を噛んだ〉, いぬてぃんか゚ てぃー ぷいち,〈子犬が手を咬んだ〉,,,,,,,,,,,,,,,,,,
1375,2,,ぷい=つん,,[PuiC-],B,(動詞),233,,〔他〕(虫などが)刺す。咬む。食う。,,,,,,,【例】ぬんに ぷい=つぁりたん,〈蚤に食われた〉,かだんくんか゚  ぷい=ちー,〈蚊が刺す〉,んかでぃんき ぷいつぁり,〈ムカデに咬まれた〉,,,,,,,,,,,,,,,,
1376,1,,ぶいは,,[buiha],A,(名詞),234,,甥(おい)。姪(めい)。「ぶいか」とも。,,,,,,,【例】うぬ びんが あがみてぃとぅ  みぬんか゚ あがみてぃや あんか゚ ぶいはどぅ,〈この男の子と女の子は私の甥姪です〉,かりや あんか゚ ぶいはどぅ ない=ぶる,〈彼(彼女)は私の甥(姪)だよ〉(関連用語)びゅっか,〈年上の娚〉,ながびゅっか,〈年上の二番目の 娚〉,びゅっかてぃ,〈年上の三番目の娚〉,みまに,〈年上の姪〉,みまにてぃ,〈年上の妹姪〉,,,,,,,,,
1377,1,,ふー,1,[hu],A,(名詞),234,,帆(ほ)。,,,(語源)日本語ホ〈帆〉に対応。 ,[po>ho>hu],,,【例】かたふ むたしば かたみぬ ぬだ うとぅし むるふ むた しば むるみぬ ぬだ うとぅし,〈片帆を揚げたら、片目の涙を落とし、諸帆を揚げたら、両目の涙を落とし。(「スンカニ」より)〉,んかちや はい-か でぃ ‘くんす まてぃてぃどぅ ふー あんき゚ んに んだし=ぶたる,〈昔 は南風が吹くのを待って帆を揚げ船出していた〉,,,,,,,,,,,,,,,,,,
1378,1,,ふー,2,[hu],B,(名詞),234,,穂。,,,,,,,【例】うらぶだぎぬ むとぅぬ たんたや まい でぃぎ ふーぬはな  さてぃ あびゃんすやー,〈宇良部岳のふもとの田などでは稲穂が咲いて米の出来栄えがよく黄金色になってきれいだね〉,すーや ふーむぬんでぃ ん どぅんさい,〈今日は稲穂の物忌祭だというよ〉(関連用語)あーぬ ふー,〈粟 の穂〉,ふーむぬん,〈穂ばらみの頃の物忌祭〉,まいぬ ふー ,〈稲の穂〉, むんぬ ふー,〈麦の穂〉,,,,,,,,,,,
1379,1,,ふー,3,[hu], ,(名詞),234,,運。幸運。,,,,,,,【例】‘たいんか゚ まいさる ‘とぅや ふーんか゚ すさんでぃどぅ  んだり=ぶる,〈額の広い人は運が強いといわれている〉,,,,,,,,,,,,,,,,,,,,
1380,1,,ぶー,1,[bu], ,(名詞),234,,(1)緒(お)。下駄(げた)、草履(ぞうり)などの鼻緒(はなお)。,,,,,,,【例】あちだぬ  ぶー ちっち=みぬん,〈下駄の鼻緒が切れてしまった〉,,,,,,,,,,,,,,,,,,,,
1380,2,,ぶー,1,[bu], ,(名詞),234,,紐(ひも)。,,,,,,,【例】 かがんぬ ぶー。 かさぬ ぶー,〈カガンの紐。笠の紐〉,,,,,,,,,,,,,,,,,,,,
1381,1,,ぶー,2,[bu], ,(名詞),234,,棒(ぼう)。,,,,,,,【例】ぶー むてぃ こー,〈棒を持っておいで〉,,,,,,,,,,,,,,,,,,,,
1382,1,,ぶー,3,[bu], ,(名詞),235,,苧麻(ちょま)。,,,,,,,【例】あぶんか゚ ぶー うみ=ぶん,〈おばあさんが苧麻を紡いでいる〉,ぶー とぅいんでぃ はたぎんき でぃ,〈苧麻を採りに畑に行こ う〉,,,,,,,,,,,,,,,,,,
1383,1,,ぶーる,,[buru],,(名詞),235,,皆。全部。全て。「むーる」とも。,,,,,,,【例】ぶーる はい=ちでぃみ,〈みんな食べ尽くした〉,んかちや がっくに ぶーるぬ せいとんき なちら ぬまみ=ぶたん,〈昔は学校で(回虫駆除のため)全生徒に海人草を飲ませていた〉,,,,,,,,,,,,,,,,,,
1384,1,,ふが,,[huga],C,(名詞),235,,外。,,,(語源)日本語ホカ〈他〉に対応。,[poka>hoga>huga],,,【例】ふがや あっつぁりゃ ながんき はい=わり,〈外は暑いので中へお入りください〉,,,,,,,,,,,,,,,,,,,,
1385,1,,ふがらさ,,[hugarasa],A,(感動詞),235,,ありがとう。,,,,,,,【例】ぱしゃる いゆんきん ふがらさーんでぃ かんがい な らいよーんでぃ いやんか゚ んでぃ=わたんど-,〈釣った魚にも感謝しろと親父がおっしゃっていた〉,,,,,,,,,,,,,,,,,,,,
1386,1,,ふがらさん,,[hugarasaN],,(形容詞),235,,ありがたい。嬉しい。,,,(語源)日本語ホコラシイ〈誇らしい〉に対応。,[pokorasisaN>ho gorasaN>hugarasaN],,,【例】くんに いし=とぅらし=わい しかーとぅ ふ がらさんでぃどぅ うまりる,〈このようにしてくださり、たいへんありがたいと思います〉,,,,,,,,,,,,,,,,,,,,
1387,1,,ぶぐりるん,,[bugurir-],,(動詞),235,,溺(おぼ)れる。,,,(語源)古語オボホレル〈溺れ る〉に対応。,[*obokure->bogure(r)->bugurir-],,,【例】あがみんか゚ かーに ぶぐりどぅ=ぶるどー,〈子供が川で溺れているぞ〉,あらーぐ うっか かんでぃ みだてぃ ぶぐり,〈とっ ても借金がかさんで頭がすっぽり沈んでいる〉,,,,,,,,,,,,,,,,,,
1388,1,,ふぐん,1,[huguN], ,(名詞),235,,フクギ。オトギリソウ科の常緑小高木。「ふぐん-き」とも。,,,(語源)西日本方言フクギ〈福木〉に対応。,[pukugi>huguzi>huguN],,,【例】 ふ ぐ ん-き や かたがんでぃどぅ だしきぬ とぅまるんき びーぶる,〈フクギは防風林として家の周囲に植えられている〉,,,,,,,,,,,,,,,,,,,,
1389,1,,ふぐん,2,[hug-], ,(動詞),236,,掃(は)く。,,,(語源)日本語ハク〈掃く〉に対応。 ,[pawak->pauk->hoog->hug-],,,【例】だーぬ なが ‘くん かんでぃどぅ=ぶんか゚ら ふぎ,〈家の中にほこりが溜まっているから掃きなさい〉,,,,,,,,,,,,,,,,,,,,
1390,1,,ふぐんどぅみいる,,[huguNdumi'iru],,(名詞),236,,黄色。フクギ染めの色。,,,,,,,【例】ふぐんぬ いしどぅ ふぐんどぅみいる すみ る,〈フクギの実(の染料)で黄色を染めている〉,,,,,,,,,,,,,,,,,,,,
1391,1,,〜ぶさん,,[busaN],,(接辞),236,,~(し)たい。動詞の連用形に接続して〈希望〉を表す。「ふさん」〈欲しい〉が接辞化したもの。,,,,,,,【例】あぬや がっくぬ べんきょー いてぃばん ないぶ さん,〈私は学校の勉強で一番になりたい〉,うんにぬ くちさや まー きー ぶさ みぬん,〈こんな苦しさはもうしたくない〉,,,,,,,,,,,,,,,,,,
1392,1,,ふす,,[husu],A,(名詞),236,,臍(へそ)。,,,(語源)古語ホゾ(ホソ)に対応。,,(関連用語)ふ すちあぶ〈助産婦〈臍(の緒)切り婆〉の意〉,,【例】あんか゚どぅ うぬ あがみてぃぬ ふす ちゃる,〈私がこの子の臍(の緒)を切ったんだよ〉,,,,,,,,,,,,,,,,,,,,
1393,1,,ふた,,[huTa],C,(名詞),236,,「ふった」とも。包丁(ほうちょう)。,,,(語源)日本語ホウチョ ウ〈包丁〉に対応。,[pautyau>hoocya>huTa],,,【例】うぬ ふたや つぁぬんすや,〈この包丁は切れないな〉,うみ ある ふた とぅい=とぅらし=んに,〈そこに ある包丁を取ってくれ〉,(関連用語)ふったうや。法事やお祝いなどの行 事 の 調 理 責 任 者 。,【例】 い や   ど ゎ い=き ー=う や ん で ぃ ど ぅ   い し=ぶ る ゆんがら ふたうや ない うったい=とぅらし=わり,〈父上のお祝いをし てさし上げようと思っておりますので、どうか調理責任者になり、指示して ください〉,,,,,,,,,,,,,,,
1394,1,,〜ぶた,,[buTa],,(接辞),236,,〈~の大きな人〉という意味を表す接尾辞。,,,,,,,【例】いー まーしく はいてぃ ばたぶた なんなよ,〈ご飯をたくさん食べてお腹の大きな人になるなよ-〉,,,,,,,,,,,,,,,,,,,,
1395,1,,ふたｎき゚るん,,[huTaŋir-],,(動詞),237,,撒(ま)く。,,,,,,,【例】ちなん ふたんき゚るんど,〈砂を撒くよ〉,,,,,,,,,,,,,,,,,,,,
1396,1,,ぶださ,,[budasa],,(名詞),237,,伯父。,,,,,,,【例】ぶたさんか゚ あった だまぬちまがら んにし わるんさい,〈伯父が明日、石垣島から船でいらっしゃる〉,,,,,,,,,,,,,,,,,,,,
1397,1,,ふち,1,[huCi],A,(名詞),237,,星。,,,(語源)日本 語ホシに対応。,[posi>hosi>huCi],,(文化的・民俗学的背景)しかまふち。仕事 星の意。宵の明星。この星が東の方に出る時が粟の植え付けによいとされた。 また「しかまふち」は、人頭税時代、農民がこの明かりを頼ってまで働かな ければ貢納を果たすことができなかったことの名残だという。,【例】なーりふち んなりたんど,〈流れ星が見えたよ〉,しかまふち い りるた はたらぎよ,〈仕事星(宵の明星)が出るまで働きなさい〉,,,,,,,,,,,,,,,,,,
1398,1,,ふち,2,[huCi], ,(名詞),237,,灸(きゅう)。,,,,,,,【例】 か や   だ み ど ぅ=ぶ り ゃ   ふ ち   だ て ぃ=と ぅ ら し=ん に,〈肩が凝っているので、お灸をしてください〉,,,,,,,,,,,,,,,,,,,,
1399,1,,ぶち,,[buCi],,(名詞),237,,節(ふし)。,,,,,,,【例】たぎぬ ぶち,〈竹の節〉,,,,,,,,,,,,,,,,,,,,
1400,1,,ふち　きるん,,[huCi+kir-],,(連語),237,,歌う。,,,,,,,【例】くちさぬ ながに あいてぃん ふち きりゃ ちむ すりるん,〈苦しさの中にあって歌は楽しみであった〉,,,,,,,,,,,,,,,,,,,,
1401,1,,ふちぬは,,[huCinuha],,(名詞),237,,蓬(ヨモギ)。,,,,,,,【例】さにてぃや ふちぬはむてぃ ‘くい どぅばぐ むてぃ  うんながんき みぬんか゚ぬ だぐばらいんでぃ はん ‘きーんでぃ ひー=ぶんど,〈旧三月三日はヨモギ餅を作り重箱を持って海に女の厄払いのため足を浸けに行っていたよ〉,,,,,,,,,,,,,,,,,,,,
1402,1,,ぶったるん,,[buTar-],A,(動詞),237,,疲れ果てる。根が尽きる。,,,(語源)沖縄方言ウゥ タユン /(1)wutayuN/ に対応。,[wotar- >botar->buTar-],,,【例】ぶったるた ‘とぅに ‘かり,〈精根尽きるまで人に使われた〉,,,,,,,,,,,,,,,,,,,,
1403,1,,ふてぃ,1,[huTi],C,(名詞),238,,箒(ほうき)。,,,(語源)日本語ホウキに対応。,[pauki>hooci>h uTi],(関連用語)たぎふてぃ〈竹箒〉/あんく゚いふてぃ〈クロツグの箒〉/どぅ しきふてぃ〈ススキの箒〉/ばらふてぃ〈藁箒〉/ふてぃてぃ〈小さい箒〉 /とぅでぃちぬ ふてぃ〈ソテツの箒〉/ばらふてぃ〈藁箒。藁で作った箒〉,,【例】きーぬ はー ふてぃし はてぃ どぅしるん,〈木の葉を箒で掃いて集める〉,たぎふてぃや つぁだぎ くさんだぎ うんなるんた  んまなが まいだぎがら とぅい=してぃどぅ どぅーし ‘くい=ぶたる,〈竹箒はリュ ウキュ ウチク、ホテイチク、タイミンチクなどを嶋仲、前岳から 採ってきて自分で作っていた〉,,,,,,,,,,,,,,,,,,
1404,1,,ふてぃ,2,[huTi], ,(名詞),238,,稲光(いなびかり)。,,,(語源)ホテリ〈火照り〉に対応。,[poteri>hotei>hoTei>hu Ti],,,【例】どぅびぬ ふてぃんか゚ にぐらたんすや,〈夕べの稲光はすごかったね〉,,,,,,,,,,,,,,,,,,,,
1405,1,,ふでぃ,,[hudi],,(名詞),238,,筆(ふで)。,,,(語源)日本語フデに対応。,[pude>hudi],,,【例】ばんか゚ ぐまるたや いー かぐんでぃや クレヨン みぬ たるゆんがら ふでぃんき ちん びきてぃ かてぃ=ぶたる,〈私が小さい頃は絵を描くにはクレヨンがなかったので、筆に墨を付けて書いていたよ〉,,,,,,,,,,,,,,,,,,,,
1406,1,,ぶでぃ,,[budi],A,(名詞),238,,歌。踊り。「ぶどぅい」とも。,,,,,,,【例】ぶでぃ=はにんき どぅでぃどぅ あんが ら んにてぃん うむつぁんすや,〈テンポよく、華やかに上手に踊るので見ていても面白いね〉,ないがら どぅなんちまぬ ぶでぃぬ かでぃかでぃ  あんぎ つぁりるんがら、んに とぅらしわり,〈今から与那国島の踊りの 数々をご披露しますので、どうぞご覧ください〉,,,,,,,,,,,,,,,,,,
1407,1,,ぶとぅ,,[buTu],A,(名詞),238,,夫(おっと)。,,,(語源)日本語オッ ト〈夫〉に対応。,[wopito>boTo>buTu],,,【例】ぶとぅや どぅーにんまいに まいすん,〈夫は十年前に亡くなった〉,,,,,,,,,,,,,,,,,,,,
1408,1,,ぶとぅ　むとぅん,,[buTu+muT-],A+B,(連語),238,,結婚する。「夫を持つ」の意。女性に対して用いる。,,,,,,,【例】 み ぬ ん か゚ あ が み や  はやぐ ぶとぅ むたし だらい,〈女の子は早く嫁がせなさい〉,,,,,,,,,,,,,,,,,,,,
1409,1,,ぶどぅい,,[budui],A,(名詞),239,,踊(おど)り。,,,(語源)日本語オドリに対応。,[wodori>bodoi>budui],,,【例】ばぬ んたいんとぅや ぶどぅい ならい=ぶん,〈私たち三人は踊りを習っている〉,,,,,,,,,,,,,,,,,,,,
1410,1,例文なし,ふとぅぎ,,[huTugi],B,(名詞),239,,仏(ほとけ)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,1,,ぶとぅてぃ,,[buTuTi],A,(名詞),239,,一昨日(おととい)。,,,(語源)日本語オトトイ(ヲトトヒ)に対応。,[wototoi>botot oi>buTuTi],,,【例】 ぶ と ぅ て ぃ   し て ぃ   ま て ぃ=ぶ る ,〈一昨日来て待っているんだよ〉,,,,,,,,,,,,,,,,,,,,
1412,1,,ふどぅるん,,[hudur-],A,(動詞),239,,大きくなる。成長する。育つ。,,,(語源)沖縄(伊江島)方言プ ドゥ ウィー ユン /pudu]wiiyuN/ に対応〈程生いる〉の意。,[podo+oi->hodoi(r)- >huduir-...>hudur-],,,【例】うぬ あがみてぃんか゚ ふどぅるん す はやんすや,〈この子が成長するのは早いね〉,,,,,,,,,,,,,,,,,,,,
