項目別,意味別,備考,見出し,,音韻,トーン,品詞,ページ,分類,意味,同義語など,活用,語源,音変化,関連語,追加情報,例文１,訳１,例文２,訳２,例文３,訳３,,,,,,,,,,,,,,,,
4,2,,あいぐん,,[aig-],B,(動詞),28,,やって来る。,,,,,,,【例】まいばらがら どぅちんか゚ あいぐん ど,〈前から友達がやって来るよ〉,,,,,,,,,,,,,,,,,,,,
4,3,,あいぐん,,[aig-],B,(動詞),28,,走る。,,,(語源)日本語アルク〈歩く〉に対応。,[*arik->aig-],,,【例】かぬとぅや みんたふ ちっ ちるた あいてぃ=つたん,〈彼は耳がちぎれるんじゃないかと思うほど速く走れた〉,,,,,,,,,,,,,,,,,,,,
5,1,,あいさー,,[aisa],,(名詞),28,,お利口さん。かわいい。,,,,,,,【例】あいさー あいさー まいふな まり くよー,〈お利口さんお利口さん、立派な人になりなさいね〉,,,,,,,,,,,,,,,,,,,,
6,1,,あいさてぃ,,[aisaTi],C,(名詞),28,,挨拶(あいさつ)。,,,(語源)日本語アイサツに対応。,[aisatu>ais aci>aisaTi],(関連用語)いー すんか゚てぃ〈いいお正月ですね(新年の挨拶表 現)〉/ぬー きー=わるんか゚?〈何をなさっていますか(挨拶表現としても用いる)〉,,【例】いやや にんとぅぬ あいさてぃんき わたんか゚ か いし にんさんすや,〈お父さんは年頭の挨拶まわりに行かれたけれど、帰りが遅いね〉, ‘とぅむてぃぬ あいさてぃや しかっとぅ きる=くとぅど,〈朝の挨拶はちゃんとしなさいよ〉,,,,,,,,,,,,,,,,,,
7,1,,あいす,,[aisu],C,(名詞),29,,相性(あいしょう)。,,,(語源)日本語アイショ ウに対応。,[aisyau>aisyoo>aisu],,,【例】かりとぅや あいす んさん,〈彼とは相性がいい〉,,,,,,,,,,,,,,,,,,,,
8,1,,あいちるん,,[aiCir-],A,(動詞),29,,(1)(木の実が)落ちる。,,,,,,,【例】 ば す な い   あ い ち   う っ て ぃ ど ぅ=ぶ か や ー ん でぃ んにんでぃ ひてぃ=する,〈バナナの実が熟れて落ちているのではないかと見に行ってきた〉,うぶ-かでぃし まんどぅい あいつん,〈台風で パパイヤの実が落ちた〉,,,,,,,,,,,,,,,,,,
8,2,例文なし,あいちるん,,[aiCir-],A,(動詞),29,,散る。,,,(語源)古語アユ〈雫ゆ〉とチル〈散る〉の 複合語か。,[aetir->aiCir-],,,,,,,,,,,,,,,,,,,,,,,,
9,1,,あいつぁい=うってぃるん,,[aiCai+uTir-],A+B,(動詞),29,,落っこちる。,,,,,,,【例】とーどー、あいつぁい=うってぃるんど。 う い と ぅ ん か゚   きーんき ぬい=ぶんすや,〈ほらほら、落っこちるよ。年寄りが木に登っているとは〉,,,,,,,,,,,,,,,,,,,,
10,1,,あいでぃ,,[aidi],,(名詞),29,,合図。目や口の様子で合図するさま。,,,(語源)日本 語アイズに対応。,[aizu>aizi>aidi],,,【例】あいでぃ きるん,〈合図をする〉,あいでぃんか゚ ありゃどぅ ひらりる,〈合図がないと行けない〉,,,,,,,,,,,,,,,,,,
11,1,,あいてぃ=あいてぃ,,[aiTi+aiTi], C+C,(名詞),29,,あんよあんよ。子供が歩くこと。,,,,,,,【例】まー あいてぃあいてぃ きるんさい,〈もうあんよあんよをするね〉,,,,,,,,,,,,,,,,,,,,
12,1,,あいてぃらし　きるん,,[aiTirasi+kir-],,(連語),29,,走る。,,,,,,,【例】うどぅぶさどぅ あるゆんがら あいてぃらし きんなよ,〈危ないから走るなよ〉,,,,,,,,,,,,,,,,,,,,
13,1,,あが,1,[aga],B,(名詞),29,,垢(あか)。,〔同〕がば。ふるつ,,(語源)日本語アカ〈垢〉 に対応。,[aka>aga],,,【例】 あ が   び っ か い=ぶ ん す や   あ が   う っ とぅい,〈垢がくっついているよ、垢を落としなさい〉,,,,,,,,,,,,,,,,,,,,
14,1,,あが,2,[aga],B,(名詞),29,,船底にたまった水。汚水。淦(あか)。,,,(語源)日本語アカ〈閼伽〉に対応。,[aka>aga],,,【例】んに あが んだしてぃ こー,〈舟の底にたまっている汚水を出してきなさい〉,あが んみ=こー,〈たまっ た汚水を汲んできなさい〉,,,,,,,,,,,,,,,,,,
15,1,,あかーっ,,[aKa],,(感動詞),30,,あ痛!痛いときに突拍子に発する声。,〔同〕あや。あやゆー,,,,,,【例】あかーっ! ぬー きるかんか゚,〈あ痛!何をするのか〉,,,,,,,,,,,,,,,,,,,,
16,1,,あがい,,[agai],A,(名詞),30,,明かり。光。,,,(語源)日本 語アカリ〈明かり〉か(クラガリに対する)アカガリに対応か。,[aka(ga)ri>aga('a)ri>agai],,,【例】あがいぬ ‘たらんきどぅ むちや あちまる,〈明かりの下にこそ虫は集まる〉,んかちや とぅるぬ あがいしどぅ しかま きー=ぶたる,〈昔はランプの明かりで仕事をしていた〉,だぬ あがいや みぬん か゚ あがみぬ あがいや うや,〈家庭の光は主婦。子供の光は親〉,,,,,,,,,,,,,,,,
17,1,,あｎか゚い,,[aŋai],A,(名詞),30,,東(ひがし)。〈上がり〉の意。,,,(語源)沖縄方言アガリ /(1)'agari/ に対応。,[agari>aŋai],,,【例】あんか゚いぬ てぃんがら ‘くゆ あんか゚ん,〈東の空から月が昇った〉,,,,,,,,,,,,,,,,,,,,
